comp_name,ticker,short_name,sector
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIET NAM,VCB,Vietcombank,Finance
VINGROUP JOINT STOCK COMPANY,VIC,Vingroup,Finance
JOINT STOCK COMMERCIAL BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BID,BIDV,Finance
VINHOMES JOINT STOCK COMPANY,VHM,Vinhomes,Finance
VIET NAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,CTG,Vietinbank,Finance
NH TMCP KY THUONG VN,TCB,Techcombank,Finance
HOA PHAT GROUP JOINT STOCK COMPANY,HPG,Hoa phat,Non-energy minerals
FPT CORPORATION,FPT,FPT,Technology services
MILITARY COMMERCIAL JOINT STOCK BANK,MBB,MB Bank,Finance
PETROVIETNAM GAS JOINT STOCK CORPORATION,GAS,PV Gas,Utilities
VIETNAM PROSPERITY JOINT STOCK COMMERCIAL BANK,VPB,VP Bank,Finance
VIET NAM DAIRY PRODUCTS JOINT STOCK COMPANY,VNM,Vinamilk,Consumer non-durables
NGAN HANG TMCP A CHAU,ACB,ACB,Finance
NHTMCP BUU DIEN LIEN VIET,LPB,Bưu điện Liên Việt,Finance
TD CN CAO SU VN - CTCP,GVR,Cao su VN,Process industries
MOBILE WORLD INVESTMENT CORPORATION,MWG,Thế giới di động,Retail trade
MASAN GROUP CORPORATION,MSN,MASAN,Consumer non-durables
HO CHI MINH CITY DEVELOPMENT JOINT STOCK COMMERCIAL BANK,HDB,HD Bank,Finance
SAI GON THUONG TIN COMMERCIAL JOINT STOCK BANK,STB,Sacombank,Finance
SAIGON BEER - ALCOHOL - BEVERAGE CORPORATION,SAB,Bia Sài gòn,Consumer non-durables
TCT DT VA PT CN - CTCP,BCM,Đầu tư và phát triển Công nghiệp,Consumer durables
VINCOM RETAIL JOINT STOCK COMPANY,VRE,Vincom,Finance
NH TMCP DONG NAM A,SSB,SeaBank,Finance
NGAN HANG TMCP QUOC TE VN,VIB,VIB Bank,Finance
NH TMCP SAI GON-HA NOI,SHB,Ngân hàng SHB,Finance
VIETJET AVIATION JOINT STOCK COMPANY,VJC,Vietjet,Transportation
SAIGON SECURITIES INCORPORATION,SSI,SSI,Finance
VIET NAM NATIONAL PETROLEUM GROUP,PLX,Petrolimex,Distribution services
TIEN PHONG COMMERCIAL JOINT STOCK BANK,TPB,TP Bank,Finance
VIETNAM EXPORT IMPORT COMMERCIAL JOINT STOCK BANK,EIB,Exim Bank,Finance
CTCPTD HOA CHAT DUC GIANG,DGC,Hóa chất Đức Giang,Process industries
BAO VIET HOLDINGS,BVH,Bảo Việt,Finance
REFRIGERATION ELECTRICAL ENGINEERING CORPORATION,REE,Cơ điện lạnh,Consumer durables
NH TMCP HANG HAI VIET NAM,MSB,Ngân hàng Hàng hải,Finance
TCT DIEN LUC DAU KHI VN,POW,Điện lực dầu khí,Utilities
KHANG DIEN HOUSE TRADING AND INVESTMENT JOINT STOCK COMPANY,KDH,Khang Điền,Consumer durables
VIET CAPITAL SECURITIES JOINT STOCK COMPANY,VCI,Viet Capital,Finance
NH TMCP PHUONG DONG,OCB,Ngân hàng Phương Đông,Finance
PHU NHUAN JEWELRY JOINT STOCK COMPANY,PNJ,PNJ Trang sức,Consumer durables
FPT DIGITAL RETAIL JOINT STOCK COMPANY,FRT,FPT Digital,Distribution services
VIET NAM ELECTRICAL EQUIPMENT JOINT STOCK CORPORATION,GEX,GELEX,Electronic technology
NH TMCP NAM A,NAB,Nam Á Bank,Finance
GEMADEPT CORPORATION,GMD,Gemadept,Transportation
VNDIRECT SECURITIES CORPORATION,VND,VN Direct,Finance
HO CHI MINH CITY SECURITIES CORPORATION,HCM,Chứng khoán HCM,Finance
TCT VIGLACERA - CTCP,VGC,Viglacera,Distribution services
CTCP CHUNG KHOAN VIX,VIX,Chứng khoán VIX,Finance
KINH BAC CITY DEVELOPMENT HOLDING CORPORATION,KBC,Kinh Bắc,Consumer durables
PETROVIETNAM CA MAU FERTILIZER JOINT STOCK COMPANY,DCM,Phân bón Cà Mau,Process industries
CTCP DT VAN PHU - INVEST,VPI,Văn Phú,Finance
KIDO GROUP CORPORATION,KDC,Kinh Đô,Consumer non-durables
PHAT DAT REAL ESTATE DEVELOPMENT CORP,PDR,Phát Đạt,Finance
HOANG ANH GIA LAI JOINT STOCK COMPANY,HAG,Hoàng Anh Gia Lai,Finance
THANH THANH CONG - BIEN HOA JOINT STOCK COMPANY,SBT,Thành Thành Công,Process industries
TCTCP BUU CHINH VIETTEL,VTP,Viettel,Transportation
DAT XANH GROUP JOINT STOCK COMPANY,DXG,Đất Xanh,Finance
CTCP DAU TU SAI GON VRG,SIP,Đầu tư Sài Gòn,Finance
PETROVIETNAM FERTILIZER AND CHEMICALS CORPORATION,DPM,Phân bón và Hóa chất Dầu khí,Process industries
TONG CTCP XNK VA XD VN,VCG,XNK và XD Việt Nam,Industrial services
BINH MINH PLASTICS JOINT STOCK COMPANY,BMP,Bình Minh,Process industries
HOANG HUY INVESTMENT FINANCIAL SERVICES JOINT STOCK COMPANY,TCH,Hoàng Huy,Finance
FPT SECURITIES JOINT STOCK COMPANY,FTS,FPT Securities,Finance
VINH HOAN CORPORATION,VHC,Vĩnh Hoàn,Consumer non-durables
BINH DUONG WATER ENVIRONMENT JOINT STOCK COMPANY,BWE,Nước Bình Dương,Utilities
NAM LONG INVESTMENT CORPORATION,NLG,Nam Long,Finance
BIDV SECURITIES JOINT STOCK COMPANY,BSI,BIDV Securities,Finance
SONG DA URBAN & INDUSTRIAL ZONE INVESTMENT AND DEVELOPMENT JOINT STOCK COMPANY,SJS,Sông Đà,Industrial services
PETROVIETNAM DRILLING & WELL SERVICE CORPORATION,PVD,PetroVietnam Drilling,Energy minerals
TCTCP CONG TRINH VIETTEL,CTR,Viettel Construction,Industrial services
CTCP TD DABACO VIET NAM,DBC,DABACO,Process industries
DEVELOPMENT INVESTMENT CONSTRUCTION JOINT STOCK CORPORATION,DIG,Đầu tư Phát triển Xây dựng,Producer manufacturing
HOA SEN GROUP,HSG,Hoa Sen,Non-energy minerals
CTCP KOSY,KOS,KOSY,Finance
COTECCONS CONSTRUCTION JOINT STOCK COMPANY,CTD,COTECCONS,Industrial services
HA DO GROUP JOINT STOCK COMPANY,HDG,Hà Đô,Finance
POWER CONSTRUCTION JOINT STOCK COMPANY,PC1,Tập đoàn PC1,Industrial services
PETROVIETNAM TRANSPORTATION CORPORATION,PVT,PetroVietnam Transport,Transportation
HO CHI MINH CITY INFRASTRUCTURE INVESTMENT JOINT STOCK COMPANY,CII,Hông Đà,Finance
CT TAI CHINH CP DIEN LUC,EVF,PetroVietnam Drilling,Finance
CTCP CHUNG KHOAN DNSE,DSE,Chứng khoán DNSE,Finance
DIGIWORLD CORP,DGW,DigiWorld,Distribution services
CMC CORPORATION,CMG,CMC,Technology services
IMEXPHARM CORPORATION,IMP,Imex Phảm,Health technology
PHUOC HOA RUBBER JOINT STOCK COMPANY,PHR,Cao su Phước Hòa,Non-energy minerals
CTCP DV HANG HOA SAI GON,SCS,Hàng hóa SG,Transportation
CTCP SONADEZI CHAU DUC,SZC,Sonasezi Châu Đức,Finance
NAM KIM STEEL JOINT STOCK COMPANY,NKG,Thép Nam Kim,Non-energy minerals
CTCP DAU TU HA TANG GIAO THONG DEO CA,HHV,Đèo Cả,Transportation
PETROVIETNAM POWER NHON TRACH 2 JOINT STOCK COMPANY,NT2,PetroVietnam Nhơn Trạch 2,Utilities
VIETNAM BANK FOR INDUSTRY AND TRADE SECURITIES JOINT STOCK COMPANY,CTS,Vietinbank Securities,Finance
THE PAN GROUP JOINT STOCK COMPANY,PAN,The Pan,Commercial services
THIEN LONG GROUP CORPORATION,TLG,Thiên Long,Consumer durables
HA TIEN 1 CEMENT JOINT STOCK COMPANY,HT1,Xi Măng Hà Tiên 1,Non-energy minerals
NAM VIET CORPORATION,ANV,Nam Việt,Consumer non-durables
BA RIA - VUNG TAU HOUSE DEVELOPMENT JOINT STOCK COMPANY,HDC,BĐS Bà Rịa - Vũng Tàu,Finance
PHA LAI THERMAL POWER JOINT STOCK COMPANY,PPC,Nhiệt điện Phả lại,Utilities
CTCP DICH VU BDS DAT XANH,DXS,Đất Xanh Service,Finance
PHU TAI JOINT STOCK COMPANY,PTB,Phú Tài,Consumer durables
AN PHAT PLASTIC AND GREEN ENVIRONMENT JOINT STOCK COMPANY,AAA,An Phát,Process industries
BAMBOO CAPITAL JOINT STOCK COMPANY,BCG,Bamboo,Finance
